,user_location,date,text,hashtags,keyword,LABEL
0,New Delhi-110029,2022-03-08 13:02:00+00:00,"Follow these do's and don'ts to ensure your safety before, during and after an #Earthquake. https://t.co/fq58rXVpbf",['Earthquake'],earthquake,0.0
1,New Delhi-110029,2022-03-08 12:34:00+00:00,#Earthquake | Do you know what to do to #StaySafe if outdoors DURING an earthquake? 👇 https://t.co/uL2EJ8QQCU,"['Earthquake', 'StaySafe']",earthquake,0.0
2,New Delhi-110029,2022-03-08 11:13:59+00:00,.@ndmaindia conducts a state-level mock exercise on #Earthquake disaster for the state of Sikkim based on the  Incident Response System (IRS). https://t.co/QihWR83U8X,['Earthquake'],earthquake,0.0
3,"New Delhi, India",2022-03-08 03:04:28+00:00,"The intensity of the #earthquake was felt at III MMI (Modified Mercalli Intensity) in Manado city, the capital of the province, Siau island and North Minahasa district. https://t.co/4zGQ77nGJC",['earthquake'],earthquake,1.0
4,mumbai,2022-03-08 02:21:20+00:00,"A 5.6-magnitude #earthquake rocked North #Sulawesi province in central #Indonesia early on Tuesday, the meteorology, climatology and geophysics agency said. https://t.co/IvEUxFfuup","['earthquake', 'Sulawesi', 'Indonesia']",earthquake,1.0
5,"Ballia,Uttar Pradesh",2022-03-08 02:07:01+00:00,"Must watch
Roasting video part 2
https://t.co/9XVFqcX7uj
#Earthquake",['Earthquake'],earthquake,0.0
6,"गुवाहाटी, भारत",2022-03-08 01:08:10+00:00,"Felt an #earthquake 50 minutes ago @LastQuake, any updates?",['earthquake'],earthquake,1.0
7,Guwahati,2022-03-08 00:20:12+00:00,"Earthquake in Guwahati. Did you feel it? 

#earthquake #Assam #Guwahati","['earthquake', 'Assam', 'Guwahati']",earthquake,1.0
8,Guwahati ,2022-03-08 00:18:34+00:00,"#earthquake #Guwahati #Assam #India

Who else felt the tremor.
#Morning shake","['earthquake', 'Guwahati', 'Assam', 'India', 'Morning']",earthquake,0.0
9,India,2022-03-08 00:17:39+00:00,"International Women’s Day just started with a mild #Earthquake in #Guwahati 

Nature says #BreakTheBias too!","['Earthquake', 'Guwahati', 'BreakTheBias']",earthquake,0.0
10,India,2022-03-08 00:17:29+00:00,"🌍 felt just now....

#earthquake #Guwahati","['earthquake', 'Guwahati']",earthquake,1.0
11,New Delhi,2022-03-08 00:13:57+00:00,"A 5.6-magnitude #earthquake rocked North #Sulawesi province in central #Indonesia early on Tuesday, the meteorology, climatology and geophysics agency said. https://t.co/5pZjrQFV0f","['earthquake', 'Sulawesi', 'Indonesia']",earthquake,1.0
12,Earth,2022-03-07 23:55:27+00:00,"USGS reports a M4.7 earthquake, 55 km SE of Mohr, Iran on 3/7/22 @ 23:30:29 UTC https://t.co/EAvvwZz4T5 #earthquake",['earthquake'],earthquake,1.0
13,India,2022-03-07 18:55:57+00:00,"Earthquake prophecy worldwide.
8 March 2022, 12:19 AM

#Indonesia 6+M #earthquake soon.

#Greece #Turkey #Albania moderate or big one earthquake (less chances) soon.

#Alaska big one earthquake soon.

#Japan /Taiwan moderate or big one earthquake (chances) soon.

#guam 6+M soon.","['Indonesia', 'earthquake', 'Greece', 'Turkey', 'Albania']",earthquake,1.0
14,"Assam, India",2022-03-07 17:35:20+00:00,"I sincerely hope it was an earthquake few minutes ago and not some maniac pushing the button.
#earthquake",['earthquake'],earthquake,1.0
15,New Delhi-110029,2022-03-07 17:34:00+00:00,"#Earthquake | Follow these do's and don'ts to ensure your safety before, during and after an #Earthquake. https://t.co/E7FTLUuSLO","['Earthquake', 'Earthquake']",earthquake,0.0
16,"Karachi, Pakistan",2022-03-07 12:39:45+00:00,"#Breaking: Earthquake Jolts felt in Karachi

#earthquake #Karachi","['Breaking', 'earthquake', 'Karachi']",earthquake,1.0
17,"Karachi, Pakistan",2022-03-07 12:36:10+00:00,"#BreakingNews earthquake jolts felt in Karachi 

#earthquake #Karachi #EarthquakeKarachi","['BreakingNews', 'earthquake', 'Karachi', 'EarthquakeKarachi']",earthquake,1.0
18,"Navi Mumbai, India",2022-03-07 08:44:30+00:00,Anyone feeling very low #earthquake in #mumbai #navimumbai ?,"['earthquake', 'mumbai', 'navimumbai']",earthquake,0.0
19,TELANGANA,2022-03-06 15:35:01+00:00,"Can't get #Justice atleast give me #Mercy Kil 🙏🇮🇳

#LISA #NoFlyZone #ApexLegends #Batman #CWC22 #Crypto #DARARI #ElonMusk #earthquake #Eurovision #ETH #Giveaway #SuperTuna_Jin #KaranKundrra #Moscow #OscarsFanFavorite #ONEPIECE #quote #RadheShyam #RussianUkrainianWar #StayAlive","['Justice', 'Mercy', 'LISA', 'NoFlyZone', 'ApexLegends', 'Batman', 'CWC22', 'Crypto', 'DARARI']",earthquake,0.0
20,TELANGANA,2022-03-06 15:32:55+00:00,"@TamilTheHindu Can't get #Justice atleast give me #Mercy Kil 🙏🇮🇳

#LISA #NoFlyZone #ApexLegends #Batman #CWC22 #Crypto #DARARI #ElonMusk #earthquake #Eurovision #ETH #Giveaway #SuperTuna_Jin #KaranKundrra #Moscow #OscarsFanFavorite #ONEPIECE #quote #RadheShyam #RussianUkrainianWar #StayAlive","['Justice', 'Mercy', 'LISA', 'NoFlyZone', 'ApexLegends', 'Batman', 'CWC22']",earthquake,0.0
21,"West Bengal, India",2022-03-06 01:59:02+00:00,"#BeAwareBePreparedBeSafe
#prevention is better than cure 
Steps for #earthquake preparedness 
@AtulKarwal 
@NDRFHQ 
@SinghGurminder6 
@wbdmcd 
@sikkimgovt 
@DMgangtok 
@DMJalpaiguri https://t.co/xCgweFJDQU","['BeAwareBePreparedBeSafe', 'prevention', 'earthquake']",earthquake,0.0
22,"New Delhi, India",2022-03-06 01:18:53+00:00,"Earthquake of magnitude 4.3 hits Kathmandu in Nepal #Earthquake #katmandu #NationalCenterforSeismology #nepalearthquake https://t.co/tGGU6k0UpG
https://t.co/mSO9VZHIbi","['Earthquake', 'katmandu', 'NationalCenterforSeismology']",earthquake,1.0
23,India,2022-03-06 01:00:44+00:00,"Magnitude 4.3 earthquake hits Kathmandu, Nepal

#Earthquake",['Earthquake'],earthquake,1.0
24,India,2022-03-05 15:40:09+00:00,"#Pakistan #India #China #earthquake prophecy

5.9±M #earthquake soon Pakistan India China around..
45 hours alerts.

5 March 2022
9:01 PM..
By @baba_vardaani
ORACLE India...

Note: Also #Alaska/#Kuril Alerts 9 Hours.. Possibility big one soon, Relax after 9 hours.","['Pakistan', 'India', 'China', 'earthquake', 'earthquake']",earthquake,0.0
25,India,2022-03-05 13:16:59+00:00,"An #earthquake of magnitude 5.5 struck northern #Sumatra in #Indonesia on Saturday, the European Mediterranean Seismological Centre (EMSC) said.

 https://t.co/1ivKixOtGa","['earthquake', 'Sumatra', 'Indonesia']",earthquake,1.0
26,"Kolkata, India",2022-03-05 12:23:32+00:00,Strong Shallow #Earthquake on the northern tip of #Sumatra https://t.co/3iIQNFaRmK,"['Earthquake', 'Sumatra']",earthquake,1.0
27,India,2022-03-05 09:25:51+00:00,"Vanuatu earthquake prophecy.
5 March 2022..2:54 PM.

Big one #earthquake soon around #Vanuatu #Fiji...

45 hours alerts. From tweet time...","['earthquake', 'Vanuatu', 'Fiji']",earthquake,0.0
28,New Delhi-110029,2022-03-04 18:03:00+00:00,#Earthquake | Is your house earthquake resistant? https://t.co/Pv2Ip9SvSo,['Earthquake'],earthquake,0.0
