,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Mohammad Fahim,Karachi  - Pakistan ,"لَا إِلَهَ إِلَّا الله  La ilaha illa Allah (There is no god but Allah)  QURAN: But as for me, He is Allah, my Lord, and I do not associate with my Lord anyone.",False,2022-04-02 14:20:33+00:00,"#Quran : 

No #disaster #strikes upon the #earth or among yourselves except that it is in a #register before We bring it into being - #indeed that, for #Allah, is #easy .

57:22

#Islam
#Muslim
#Muslims","['Quran', 'disaster', 'strikes', 'earth', 'register']",Botbird tweets
1,Luz Huntington-Moskos,KY/IN,#assistantprofessor #nursescientist @UofLNursing @CIEHS_UofL Adolescent Health & Environmental Health. #RPCV Malawi #LatinaMom of teens. She/her Tweets my own.,False,2022-04-02 13:11:28+00:00,@TaraHeagele @enviRN Your work does the important job of emphasizing the vulnerability of our older loved ones in times of #disaster,['disaster'],Twitter for iPhone
2,Luz Huntington-Moskos,KY/IN,#assistantprofessor #nursescientist @UofLNursing @CIEHS_UofL Adolescent Health & Environmental Health. #RPCV Malawi #LatinaMom of teens. She/her Tweets my own.,False,2022-04-02 12:33:24+00:00,Tada!! Here’s the 2-person #disaster #preparedness backpack heading over to mother-in-laws later today👍 https://t.co/15EC9jiAB7,"['disaster', 'preparedness']",Twitter for iPhone
3,Luz Huntington-Moskos,KY/IN,#assistantprofessor #nursescientist @UofLNursing @CIEHS_UofL Adolescent Health & Environmental Health. #RPCV Malawi #LatinaMom of teens. She/her Tweets my own.,False,2022-04-02 12:25:17+00:00,If you missed Dr @TaraHeagele @enviRN presentation it’s not too late! Check out the ANHE YouTube channel cause you will find her #disaster #preparedness talk there waiting for you! https://t.co/YR2ppvR8LU,,Twitter for iPhone
4,Luz Huntington-Moskos,KY/IN,#assistantprofessor #nursescientist @UofLNursing @CIEHS_UofL Adolescent Health & Environmental Health. #RPCV Malawi #LatinaMom of teens. She/her Tweets my own.,False,2022-04-02 12:21:15+00:00,Arrived home from #MNRS2022 to find a 4-person #disaster kit arrived in the mail!! Thank you Dr. @TaraHeagele for your excellent @enviRN Research Wok Group presentation. It inspired me to purchase a better kit for our home &amp; for my parents &amp; mother-in-law https://t.co/oUvjKOZdQ3,"['MNRS2022', 'disaster']",Twitter for iPhone
5,United News of India,"New Delhi, India",Official twitter handle of UNI - India's premier multilingual news agency,False,2022-04-02 10:24:40+00:00,"#India and #Turkmenistan signed four MoUs for cooperation in the fields of #disaster management, #Financial assistance, #culture and youth matters. The agreements were inked in the presence of President Ram Nath Kovind and President Serdar Berdimuhamedov. https://t.co/XosjnsW0cc","['India', 'Turkmenistan', 'disaster', 'Financial']",Twitter Web App
6,Suchint Sharma,"New Delhi, India","DeshBhakt | 
LogicalIndian",False,2022-04-02 10:17:40+00:00,"https://t.co/whnHGonaas @dtptraffic @AAPDelhi @TransportDelhi @nitin_gadkari @indSupremeCourt Entire Delhi is now made BRT, where E-Ricks, TSRs, 2-Wheelers, Vikrams, BullockCarts will all now drive on both fast lanes @15kmph? #vinashkalevipreetbudhi #disaster #brainlessdecision",,Twitter for Android
7,HA International,"नई दिल्ली, भारत","HAI is an Indian organisation, aiming to work globally on disaster response and development with support from Indians, including PIO. Founded by @sssingh21",True,2022-04-02 04:11:22+00:00,"Under the @HCL_Foundation funded project, #HAI together with @neadsjorhat, has constructed #disaster #resilient shelter in #Assam to be used for ICDS and health services during disasters. Since soil erosion is high, this #shelter can be dismantled and moved to other places. https://t.co/i8w928YiCU","['HAI', 'disaster', 'resilient']",Twitter Web App
8,Mohammad Fahim,Karachi  - Pakistan ,"لَا إِلَهَ إِلَّا الله  La ilaha illa Allah (There is no god but Allah)  QURAN: But as for me, He is Allah, my Lord, and I do not associate with my Lord anyone.",False,2022-04-01 14:20:45+00:00,"#Quran : 

No #disaster #strikes upon the #earth or among yourselves except that it is in a #register before We bring it into being - #indeed that, for #Allah, is #easy .

57:22

#Islam
#Muslim
#Muslims","['Quran', 'disaster', 'strikes', 'earth', 'register']",Botbird tweets
9,Gaurav Khatri,"Banswara,Rajasthan,India",ARTIST/ENTREPRENEUR/TECHNICIAN.,False,2022-04-01 13:56:26+00:00,"Please!!
I urge you to plant more and more trees to mitigate the effects of climate change.
Please save the soil.
#savesoil #initiative #climatechange #mitigate #disaster #degradation #ourplanet #ourresponsibility #quote",,Twitter Web App
10,Aashish Chaubey 💥⚡️,"New Delhi, India",#DataScientist 📈 | Blogger 📝 | TechBoffin 💻 | Bibliophile 📚 | Aspiring Speaker 🎙 | Wears a mask 😷,False,2022-04-01 12:48:42+00:00,Why God Why? @StackOverflow #disaster #SOS #Doomsday_Is_Upon_Us https://t.co/QSTjTUbcnq,"['disaster', 'SOS', 'Doomsday_Is_Upon_Us']",Twitter Web App
11,ADBPakistan,"Islamabad, Pakistan","Official handle of the Asian Development Bank (ADB), Pakistan office. Features information on ADB's activities, partnerships, and knowledge work.",False,2022-04-01 08:15:16+00:00,"ADB’s Deputy Country Director Asad Aleem &amp; experts at a Telemetry planning workshop on 31 March urged prioritizing real time flow data acquisition, &amp; aligning #disaster and #water management policies and plans to minimize #ClimateChange associated risks in #Pakistan. https://t.co/cDzhtz3qpE",,Twitter Web App
12,Harikrishnan Sajan,"Mumbai, India",21,False,2022-04-01 06:31:21+00:00,"The weather is really bad here ,i don't like this at all.

#mumbaiweather #weatherupdates #disaster #mumbaidisaster","['mumbaiweather', 'weatherupdates', 'disaster', 'mumbaidisaster']",Twitter for Android
13,NDMA India | राष्ट्रीय आपदा प्रबंधन प्राधिकरण 🇮🇳,New Delhi-110029,"राष्ट्रीय आपदा प्रबंधन प्राधिकरण, भारत सरकार 
National Disaster Management Authority, Govt of India",True,2022-03-31 23:04:00+00:00,"#LandslideSafety:The foundation of steep slope is weak, so try to construct your house at a safe place. #disaster. https://t.co/Cdm8DGSBUr","['LandslideSafety', 'disaster']",TweetDeck
14,Rao Haider Farooq,"Karachi, Pakistan",Me jaanta hun jo woh likhein ge jawab me :p,False,2022-03-31 15:35:30+00:00,"I am sorry, but this is a fiasco. Emotional manipulation doctrine riddlled with catastrophic diplomatic blunders.

Someone somewhere should have stopped this.

#PMImranKhan #voteofnoconfidence #Disaster",,Twitter for Android
15,Mohammad Fahim,Karachi  - Pakistan ,"لَا إِلَهَ إِلَّا الله  La ilaha illa Allah (There is no god but Allah)  QURAN: But as for me, He is Allah, my Lord, and I do not associate with my Lord anyone.",False,2022-03-31 14:20:35+00:00,"#Quran : 

No #disaster #strikes upon the #earth or among yourselves except that it is in a #register before We bring it into being - #indeed that, for #Allah, is #easy .

57:22

#Islam
#Muslim
#Muslims","['Quran', 'disaster', 'strikes', 'earth', 'register']",Botbird tweets
16,Achala Navaratne,"Dhaka, Bangladesh","Country Representative for @RedCross in #Bangladesh; humanitarian, disaster manager, campaigner; @UCberkeley @FulbrightPrgrm #Pera alum; Views my own",False,2022-03-31 13:04:44+00:00,"#Bangladesh 🇧🇩 #ClimateCrisis is increasing #disaster #displacement every year with families &amp; communities moving to urban centers &amp; city slums.

Tracking @DDisplacement is a start to finding durable solutions for people who are losing land &amp; risk being lost.

@ifrc @UNmigration https://t.co/KsZgyDYWhJ","['Bangladesh', 'ClimateCrisis', 'disaster', 'displacement']",Twitter for iPhone
